iter	Passed	Remaining
1554	21959	6284
1555	21965	6267
1556	21969	6250
1557	21974	6234
1558	21980	6217
1559	21986	6201
1560	21991	6184
1561	21997	6168
1562	22003	6151
1563	22010	6135
1564	22016	6119
1565	22025	6104
1566	22036	6089
1567	22051	6075
1568	22064	6061
1569	22076	6046
1570	22090	6032
1571	22101	6017
1572	22113	6002
1573	22127	5988
1574	22138	5973
1575	22152	5959
1576	22164	5945
1577	22176	5930
1578	22189	5916
1579	22200	5901
1580	22214	5887
1581	22227	5873
1582	22243	5859
1583	22255	5844
1584	22269	5830
1585	22284	5817
1586	22297	5802
1587	22310	5788
1588	22321	5773
1589	22329	5757
1590	22346	5744
1591	22355	5729
1592	22361	5713
1593	22368	5697
1594	22374	5681
1595	22379	5665
1596	22385	5648
1597	22391	5632
1598	22396	5616
1599	22402	5600
1600	22407	5584
1601	22412	5568
1602	22417	5551
1603	22422	5535
1604	22426	5519
1605	22430	5502
1606	22435	5486
1607	22439	5470
1608	22443	5453
1609	22447	5437
1610	22452	5421
1611	22459	5405
1612	22466	5390
1613	22473	5374
1614	22484	5359
1615	22492	5344
1616	22504	5330
1617	22515	5315
1618	22523	5300
1619	22534	5285
1620	22549	5272
1621	22561	5257
1622	22568	5242
1623	22576	5227
1624	22590	5213
1625	22602	5198
1626	22614	5184
1627	22627	5170
1628	22645	5157
1629	22663	5144
1630	22678	5130
1631	22691	5116
1632	22703	5102
1633	22714	5087
1634	22726	5073
1635	22736	5058
1636	22746	5043
1637	22754	5028
1638	22761	5013
1639	22769	4998
1640	22776	4982
1641	22783	4967
1642	22793	4952
1643	22803	4938
1644	22814	4923
1645	22834	4910
1646	22848	4897
1647	22856	4882
1648	22866	4867
1649	22876	4852
1650	22883	4837
1651	22891	4822
1652	22899	4807
1653	22909	4792
1654	22918	4777
1655	22927	4762
1656	22935	4747
1657	22943	4732
1658	22951	4717
1659	22959	4702
1660	22965	4687
1661	22971	4671
1662	22990	4658
1663	23006	4645
1664	23018	4631
1665	23031	4617
1666	23042	4603
