group_id,x,y,w,h,FID_Soil25,soilgroup,fertility,texture_to,OBJECTID,Id,sugar,cassava,maize,rice,water_code,crop_type
15418,101.4245384482781,13.67888787205904,0.01,0.01,"202.0,354.0,202.0","16,33,16","ต่ำ,ปานกลาง,ต่ำ","ดินร่วนปนทรายแป้ง,ดินร่วนปนทรายแป้ง,ดินร่วนปนทรายแป้ง","16242.0,16242.0","19.0,19.0",0.0,2.0,0.0,0.0,"2.0,2.0","A0204,A0204"
15419,101.4345384482781,13.67888787205904,0.01,0.01,"202.0,354.0,202.0,354.0","16,33,16,33","ต่ำ,ปานกลาง,ต่ำ,ปานกลาง","ดินร่วนปนทรายแป้ง,ดินร่วนปนทรายแป้ง,ดินร่วนปนทรายแป้ง,ดินร่วนปนทรายแป้ง","3853.0,3853.0,3853.0","0.0,0.0,0.0",3.0,0.0,0.0,0.0,"2.0,2.0,2.0","A0204,A0204,A0204"
15420,101.44453844827811,13.67888787205904,0.01,0.01,"175.0,202.0,354.0","35Bb,16,33","ต่ำ,ต่ำ,ปานกลาง","ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง,ดินร่วนปนทรายแป้ง","351369.0,351369.0,351369.0,351369.0,351369.0,351369.0,351369.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.0,0.0,0.0,7.0,"2.0,2.0,2.0,2.0,2.0,2.0,2.0","A0102,A0102,A0102,A0102,A0102,A0102,A0102"
15424,101.48453844827813,13.67888787205904,0.01,0.01,"354.0,175.0,354.0","33,35Bb,33","ปานกลาง,ต่ำ,ปานกลาง","ดินร่วนปนทรายแป้ง,ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง","16343.0,16343.0,16343.0,16343.0","18.0,18.0,18.0,18.0",0.0,4.0,0.0,0.0,"2.0,2.0,2.0,2.0","A0204,A0204,A0204,A0204"
15425,101.49453844827813,13.67888787205904,0.01,0.01,"54.0,354.0,175.0,354.0","48B,33,35Bb,33","ต่ำ,ปานกลาง,ต่ำ,ปานกลาง","ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง,ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง","9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,9820.0,16343.0,16343.0,16343.0,16343.0,9820.0","18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0",0.0,19.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15426,101.50453844827814,13.67888787205904,0.01,0.01,"54.0,354.0,174.0,175.0,354.0","48B,33,35B,35Bb,33","ต่ำ,ปานกลาง,ต่ำ,ต่ำ,ปานกลาง","ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง,ดินร่วนปนทราย,ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง","1458.0,3853.0,3853.0,3853.0,1461.0,1458.0","0.0,0.0,0.0,0.0,0.0,0.0",6.0,0.0,0.0,0.0,"1.0,2.0,2.0,2.0,1.0,1.0","A0204,A0204,A0204,A0204,A0204,A0204"
15429,101.53453844827816,13.67888787205904,0.01,0.01,"174.0,354.0,502.0","35B,33,35C","ต่ำ,ปานกลาง,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง,ดินทรายปนดินร่วน","1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10.0,0.0,0.0,0.0,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15430,101.54453844827816,13.67888787205904,0.01,0.01,"139.0,174.0,502.0","44B,35B,35C","ต่ำ,ต่ำ,ต่ำ","ดินทรายปนดินร่วน,ดินร่วนปนทราย,ดินทรายปนดินร่วน","9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0","18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0",0.0,9.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15431,101.55453844827817,13.67888787205904,0.01,0.01,"139.0,174.0,502.0","44B,35B,35C","ต่ำ,ต่ำ,ต่ำ","ดินทรายปนดินร่วน,ดินร่วนปนทราย,ดินทรายปนดินร่วน","9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0,9825.0","18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0",0.0,9.0,0.0,0.0,"3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
15434,101.58453844827818,13.67888787205904,0.01,0.01,"174.0,308.0,354.0,19.0","35B,17,33,56B","ต่ำ,ต่ำ,ปานกลาง,ต่ำ","ดินร่วนปนทราย,ดินร่วนปนทราย,ดินร่วนปนทรายแป้ง,ดินร่วนปนทราย","1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0,1462.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10.0,0.0,0.0,0.0,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0","A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204,A0204"
